1,2,3,4,5,6,7,8,9,10
QB - DET,RB - SEA,RB - SEA,RB - CAR,RB - CLE,WR - CLE,TE - CHI,RB - CAR,RB - CHI,RB - LV
13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
R. Shaheed,K. Herbert,M. Stafford,M. Stafford,Z. Charbonnet,D. Wicks,K. Herbert,Z. Charbonnet,L. Musgrave,J. Dotson
WR - NO,RB - CHI,QB - LAR,QB - LAR,RB - SEA,WR - GB,RB - CHI,RB - SEA,TE - GB,WR - WAS
1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
B. Hall,C. McCaffrey,T. Hill,C. McCaffrey,B. Robinson,A. St. Brown,J. Jefferson,C. McCaffrey,C. McCaffrey,A. St. Brown
RB - NYJ,RB - SF,WR - MIA,RB - SF,RB - ATL,WR - DET,WR - MIN,RB - SF,RB - SF,WR - DET
2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
D. Achane,K. Williams,K. Williams,D. Adams,D. Adams,J. Allen,K. Williams,J. Allen,P. Nacua,J. Allen
RB - MIA,RB - LAR,RB - LAR,WR - LV,WR - LV,QB - BUF,RB - LAR,QB - BUF,WR - LAR,QB - BUF
3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
S. Diggs,M. Pittman,M. Harrison,S. Diggs,S. Diggs,J. Waddle,M. Harrison,T. Kelce,M. Harrison,T. Dell
WR - HOU,WR - IND,WR -,WR - HOU,WR - HOU,WR - MIA,WR -,TE - KC,WR -,WR - HOU
4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
D. Smith,D. London,S. LaPorta,M. Nabers,K. Allen,T. Etienne,M. Nabers,T. Higgins,M. Andrews,M. Evans
WR - PHI,WR - ATL,TE - DET,WR -,WR - CHI,RB - JAX,WR -,WR - CIN,TE - BAL,WR - TB
5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
R. Odunze,J. Cook,R. White,R. White,A. Cooper,M. Andrews,T. Higgins,A. Cooper,P. Mahomes,Z. Flowers
WR -,RB - BUF,RB - TB,RB - TB,WR - CLE,TE - BAL,WR - CIN,WR - CLE,QB - KC,WR - BAL
6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
J. Jacobs,C. Kirk,I. Pacheco,J. Reed,J. Addison,C. Ridley,C. Kirk,C. Ridley,J. Addison,D. Henry
RB - GB,WR - JAX,RB - KC,WR - GB,WR - MIN,WR - TEN,WR - JAX,WR - TEN,WR - MIN,RB - BAL
7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
G. Kittle,C. Stroud,C. Stroud,C. Godwin,D. Kincaid,J. Jacobs,C. Stroud,C. Watson,D. Henry,D. Hopkins
TE - SF,QB - HOU,QB - HOU,WR - TB,TE - BUF,RB - GB,QB - HOU,WR - GB,RB - BAL,WR - TEN
8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7
J. Love,K. Pitts,M. Brown,G. Kittle,D. Prescott,T. Pollard,E. Engram,D. Montgomery,C. Watson,E. Engram
QB - GB,TE - ATL,WR - KC,TE - SF,QB - DAL,RB - TEN,TE - JAX,RB - DET,WR - GB,TE - JAX
9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4
N. Harris,B. Robinson,N. Harris,K. Murray,A. Ekeler,J. Warren,J. Warren,B. Robinson,J. Smith-Njigba,B. Robinson
RB - PIT,RB - WAS,RB - PIT,QB - ARI,RB - WAS,RB - PIT,RB - PIT,RB - WAS,WR - SEA,RB - WAS
10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7
K. Shakir,C. Brown,C. Sutton,D. Swift,J. Downs,C. Sutton,C. Sutton,K. Shakir,J. Downs,R. Mostert
WR - BUF,RB - CIN,WR - DEN,RB - CHI,WR - IND,WR - DEN,WR - DEN,WR - BUF,WR - IND,RB - MIA
11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4
J. Herbert,D. Goedert,D. Schultz,J. Herbert,C. Brown,M. Williams,T. Hockenson,C. Brown,J. Herbert,T. Tagovailoa
QB - LAC,TE - PHI,TE - HOU,QB - LAC,RB - CIN,WR - NYJ,TE - MIN,RB - CIN,QB - LAC,QB - MIA
12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7
Z. White,R. Johnson,J. Goff,R. Johnson,R. Johnson,C. Hubbard,Z. White,J. Dotson,J. Ford,D. Wicks
RB - LV,RB - CHI,QB - DET,RB - CHI,RB - CHI,RB - CAR,RB - LV,WR - WAS,RB - CLE,WR - GB
13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4
D. Wicks,D. Wicks,J. Dotson,J. Dotson,M. Stafford,L. Musgrave,K. Miller,L. Musgrave,K. Miller,D. Singletary
WR - GB,WR - GB,WR - WAS,WR - WAS,QB - LAR,TE - GB,RB - NO,TE - GB,RB - NO,RB - NYG
1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
J. Jefferson,T. Hill,J. Jefferson,A. St. Brown,A. St. Brown,J. Jefferson,A. St. Brown,J. Jefferson,J. Chase,C. McCaffrey
WR - MIN,WR - MIA,WR - MIN,WR - DET,WR - DET,WR - MIN,WR - DET,WR - MIN,WR - CIN,RB - SF
2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
D. Adams,D. Moore,J. Taylor,C. Olave,J. Taylor,J. Taylor,P. Nacua,J. Taylor,B. Aiyuk,D. Moore
WR - LV,WR - CHI,RB - IND,WR - NO,RB - IND,RB - IND,WR - LAR,RB - IND,WR - SF,WR - CHI
3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
T. Kelce,S. Diggs,R. Rice,T. Dell,M. Harrison,T. Dell,T. Dell,T. Dell,J. Waddle,M. Harrison
TE - KC,WR - HOU,WR - KC,WR - HOU,WR -,WR - HOU,WR - HOU,WR - HOU,WR - MIA,WR -
4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
K. Allen,T. Etienne,M. Nabers,J. Hurts,T. Etienne,D. Metcalf,J. Hurts,K. Allen,D. Smith,D. Smith
WR - CHI,RB - JAX,WR -,QB - PHI,RB - JAX,WR - SEA,QB - PHI,WR - CHI,WR - PHI,WR - PHI
5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
